roadID	length	nodeID1	nodeID2	coords
18195	0.07697709339380565	12606	12605	-36.87295	174.72445	-36.87286	174.72444	-36.87226	174.7245
18198	0.10664799363708782	43021	12684	-36.87958	174.72444	-36.88024	174.72531
18197	0.09482234020754576	12605	12685	-36.87226	174.7245	-36.87244	174.72488	-36.8725	174.72508	-36.87248	174.72549
18196	0.08409222998817018	12606	40993	-36.87295	174.72445	-36.87299	174.7245	-36.87335	174.72525
16598	0.15561249181566142	11481	11558	-36.86346	174.71066	-36.86466	174.71156
16598	0.29704391886581694	11558	11666	-36.86466	174.71156	-36.86694	174.7133
16598	0.23243945068448177	11666	11782	-36.86694	174.7133	-36.86872	174.71467
16450	0.11254210811462974	11538	11602	-36.86799	174.71124	-36.86745	174.71231
16450	0.104748240292026	11602	11666	-36.86745	174.71231	-36.86694	174.7133
16450	0.11442873323046775	11666	11741	-36.86694	174.7133	-36.86642	174.71441
16450	0.1607998403223002	11741	11877	-36.86642	174.71441	-36.86565	174.71594
16473	0.4167886952374174	11430	11602	-36.86426	174.70985	-36.86745	174.71231
16473	0.20652762314247522	11602	11700	-36.86745	174.71231	-36.86904	174.71351
16501	0.04566795852369588	11431	11428	-36.8708	174.70982	-36.87121	174.70985
16770	0.30080130739413175	11617	11741	-36.86413	174.71261	-36.86642	174.71441
16769	0.11146355170047666	11617	11657	-36.86413	174.71261	-36.86325	174.71321
16830	0.21474403528588862	11656	11788	-36.86329	174.71339	-36.86426	174.71411	-36.86445	174.71441	-36.86456	174.71469	-36.86462	174.71499
16687	0.11044750008742826	11558	11617	-36.86466	174.71156	-36.86413	174.71261
17134	0.025157854769410546	38947	38946	-36.88612	174.71861	-36.88628	174.71881
17134	0.08265214404145496	38946	12167	-36.88628	174.71881	-36.88674	174.71954
17134	0.033661919735478954	12167	12209	-36.88674	174.71954	-36.88696	174.7198
17134	0.14311036826657225	12209	12293	-36.88696	174.7198	-36.88726	174.72029	-36.88777	174.72105
17134	0.13130541136928478	12293	12420	-36.88777	174.72105	-36.88853	174.72218
17146	0.2351100158863689	11877	11909	-36.86565	174.71594	-36.86645	174.71621	-36.86771	174.71653
16939	0.2660275025646122	11741	11909	-36.86642	174.71441	-36.86754	174.71521	-36.86765	174.71536	-36.86767	174.71545	-36.86771	174.71653
17006	0.08183557280056372	32583	11788	-36.86531	174.71467	-36.86462	174.71499
17021	0.15457885521348522	11788	11877	-36.86462	174.71499	-36.86469	174.71531	-36.86486	174.71557	-36.86514	174.71577	-36.86552	174.71594	-36.86565	174.71594
17313	0.10452323104587863	11986	11987	-36.86696	174.71748	-36.86602	174.71748
17312	0.07472586398268247	11986	32799	-36.86696	174.71748	-36.86696	174.71832
17314	0.07475985829266249	11987	32804	-36.86602	174.71748	-36.86604	174.71832
17389	0.38260490309879946	12046	12368	-36.86194	174.71823	-36.86177	174.71844	-36.86008	174.72169	-36.86005	174.72181
17388	0.6776691170628657	12046	12126	-36.86194	174.71823	-36.86243	174.71841	-36.86396	174.71905	-36.86793	174.71899
